Название избирательной комиссии	Название вышестоящей комиссии	ФИО	Статус	Кем предложен
ТИК №  1	Санкт-Петербургская избирательная комиссия	Старцев Николай Николаевич	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии "КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"
ТИК №  1	Санкт-Петербургская избирательная комиссия	Чистякова Ольга Борисовна	Член	Региональное общественное движение "Жители Санкт-Петербурга"
ТИК №  1	Санкт-Петербургская избирательная комиссия	Човпинь Руслан Григорьевич	Член	представительный орган муниципального образования
Участковая избирательная комиссия №1	ТИК 1	Алымов Михаил Александрович	Председатель	Региональное отделение в городе Санкт-Петербурге Политической партии "Гражданская Платформа"
Участковая избирательная комиссия №1	ТИК 1	Тропина Екатерина Анатольевна	Секретарь	Региональное отделение в Санкт-Петербурге Политической партии "Российская экологическая партия "Зелёные"
Участковая избирательная комиссия №1	ТИК 1	Алексеенко Михаил Сергеевич	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №1	ТИК 1	Бериева Людмила Алексеевна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №1	ТИК 1	Гусев Максим Александрович	Член	Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ "РОДИНА" в городе Санкт-Петербурге
Участковая избирательная комиссия №1	ТИК 1	Долженко Анастасия Олеговна	Член	Региональное отделение политической партии СОЦИАЛЬНОЙ ЗАЩИТЫ в г.Санкт-Петербурге
Участковая избирательная комиссия №1	ТИК 1	Илюшкина Наталья Викторовна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1	ТИК 1	Коростин Денис Алексеевич	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1	ТИК 1	Костин Станислав Александрович	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1	ТИК 1	Куликова Ирина Николаевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №1	ТИК 1	Ольм Юрий Леонидович	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №1	ТИК 1	Скрибо Сергей Владимирович	Член	Санкт-Петербургское региональное отделение политической партии "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №1	ТИК 1	Сухарькова Светлана Николаевна	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии "КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"
Участковая избирательная комиссия №1	ТИК 1	Шершенкова Полина Евгеньевна	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №2	ТИК 1	Куратова Елена Алексеевна	Председатель	собрание избирателей по месту жительства
Участковая избирательная комиссия №2	ТИК 1	Йылдыз Оксана Николаевна	Зам.председателя	Адмиралтейское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №2	ТИК 1	Кизилова Валентина Валентиновна	Секретарь	собрание избирателей по месту жительства
Участковая избирательная комиссия №2	ТИК 1	Агаева Кристина Олеговна	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии "КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"
Участковая избирательная комиссия №2	ТИК 1	Баранова Маргарита Олеговна	Член	Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ "РОДИНА" в городе Санкт-Петербурге
Участковая избирательная комиссия №2	ТИК 1	Бичайкина Валерия Романовна	Член	Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №2	ТИК 1	Герасимов Владимир Игоревич	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №2	ТИК 1	Еремеева Елена Эдуардовна	Член	Санкт-Петербургское региональное отделение политической партии "ПАТРИОТЫ РОССИИ"
Участковая избирательная комиссия №2	ТИК 1	Жарова Розалия Ивановна	Член	Санкт-Петербургское региональное отделение Общероссийской политической партии "Народная партия "За женщин России"
Участковая избирательная комиссия №2	ТИК 1	Майкова Людмила Петровна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №2	ТИК 1	Малахова Диана Юрьевна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №2	ТИК 1	Сирица Дмитрий Витальевич	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №2	ТИК 1	Слав Денис Иванович	Член	Региональное отделение политической партии СОЦИАЛЬНОЙ ЗАЩИТЫ в г.Санкт-Петербурге
Участковая избирательная комиссия №2	ТИК 1	Смирнова Любовь Владимировна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №2	ТИК 1	Чернышев Владимир Викторович	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №3	ТИК 1	Суслов Александр Владимирович	Председатель	Региональное отделение Всероссийской политической партии ПАРТИЯ ЗА СПРАВЕДЛИВОСТЬ! в г.Санкт-Петербурге
Участковая избирательная комиссия №3	ТИК 1	Абдулин Александр Файзулович	Зам.председателя	Адмиралтейское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №3	ТИК 1	Чуклина Анастасия Ивановна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №3	ТИК 1	Андреева Ирина Павлиновна	Член	Региональное отделение Всероссийской политической партии "Союз Труда" в Санкт-Петербурге
Участковая избирательная комиссия №3	ТИК 1	Байкова Лидия Петровна	Член	Региональное отделение в Санкт-Петербурге Политической партии "Российская экологическая партия "Зелёные"
Участковая избирательная комиссия №3	ТИК 1	Бердиярова Наталья Леонидовна	Член	Санкт-Петербургское региональное отделение политической партии "ПАТРИОТЫ РОССИИ"
Участковая избирательная комиссия №3	ТИК 1	Гулакова Мария Анатольевна	Член	Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №3	ТИК 1	Егоров Андрей Алексеевич	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №3	ТИК 1	Егорова Екатерина Александровна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №3	ТИК 1	Латыпов Андрей Тагирович	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №3	ТИК 1	Ломова Марина Юрьевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №3	ТИК 1	Лучникова Елена Борисовна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №3	ТИК 1	Лядова Ирина Станиславовна	Член	Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ "РОДИНА" в городе Санкт-Петербурге
Участковая избирательная комиссия №3	ТИК 1	Стельмашов Алексей Владимирович	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии "КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"
Участковая избирательная комиссия №4	ТИК 1	Кириллова Анна Александровна	Председатель	собрание избирателей по месту жительства
Участковая избирательная комиссия №4	ТИК 1	Соколов Никита Сергеевич	Зам.председателя	собрание избирателей по месту жительства
Участковая избирательная комиссия №4	ТИК 1	Афанасьева Александра Вадимовна	Секретарь	собрание избирателей по месту жительства
Участковая избирательная комиссия №4	ТИК 1	Алексеева Людмила Анатольевна	Член	Адмиралтейское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №4	ТИК 1	Ахмедзянов Марат Русланович	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №4	ТИК 1	Бусыгина Елена Игоревна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №4	ТИК 1	Давиденко Лариса Константиновна	Член	Региональное отделение в Санкт-Петербурге Политической партии "Российская экологическая партия "Зелёные"
Участковая избирательная комиссия №4	ТИК 1	Комаров Михаил Андреевич	Член	Региональное отделение в городе Санкт-Петербурге Политической партии "Гражданская Платформа"
Участковая избирательная комиссия №4	ТИК 1	Кузьмин Дмитрий Ярославович	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №4	ТИК 1	Смирнов Олег Валерьевич	Член	Региональное отделение политической партии СОЦИАЛЬНОЙ ЗАЩИТЫ в г.Санкт-Петербурге
Участковая избирательная комиссия №4	ТИК 1	Спиридонов Александр Анатольевич	Член	Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №4	ТИК 1	Христенко Владимир Михайлович	Член	Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ "РОДИНА" в городе Санкт-Петербурге
Участковая избирательная комиссия №5	ТИК 1	Минеев Дмитрий Николаевич	Председатель	Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ "РОДИНА" в городе Санкт-Петербурге
Участковая избирательная комиссия №5	ТИК 1	Озерин Виталий Витальевич	Зам.председателя	Региональное отделение Всероссийской политической партии ПАРТИЯ ЗА СПРАВЕДЛИВОСТЬ! в г.Санкт-Петербурге
Участковая избирательная комиссия №5	ТИК 1	Черепанова Наталия Игоревна	Секретарь	Санкт-Петербургское региональное отделение Общероссийской политической партии "Народная партия "За женщин России"
Участковая избирательная комиссия №5	ТИК 1	Графов Роман Юрьевич	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №5	ТИК 1	Конельская Инна Феликсовна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №5	ТИК 1	Копылова Татьяна Дмитриевна	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии "КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"
Участковая избирательная комиссия №5	ТИК 1	Михеева Елена Николаевна	Член	Политическая партия СОЦИАЛЬНОЙ ЗАЩИТЫ
Участковая избирательная комиссия №5	ТИК 1	Петрова Маргарита Сергеевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №5	ТИК 1	Почеревина Татьяна Александровна	Член	Адмиралтейское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №5	ТИК 1	Трухачев Дмитрий Андреевич	Член	Региональное отделение в Санкт-Петербурге Политической партии "Российская экологическая партия "Зелёные"
Участковая избирательная комиссия №5	ТИК 1	Царев Алексей Борисович	Член	Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №5	ТИК 1	Черепанова Мария Родионовна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №5	ТИК 1	Чуприна Анастасия Павловна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №5	ТИК 1	Шмелева Марина Олеговна	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №6	ТИК 1	Волков Дмитрий Эдуардович	Председатель	Адмиралтейское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №6	ТИК 1	Зубова Светлана Юрьевна	Зам.председателя	Региональное отделение политической партии СОЦИАЛЬНОЙ ЗАЩИТЫ в г.Санкт-Петербурге
Участковая избирательная комиссия №6	ТИК 1	Исправникова Софи Александровна	Секретарь	собрание избирателей по месту жительства
Участковая избирательная комиссия №6	ТИК 1	Алфимова Татьяна Сергеевна	Член	Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ "РОДИНА" в городе Санкт-Петербурге
Участковая избирательная комиссия №6	ТИК 1	Балуева Марина Сергеевна	Член	Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №6	ТИК 1	Баранова Инна Ивановна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №6	ТИК 1	Белова Наталья Валерьевна	Член	Региональное отделение общественной организации - Политической партии "Добрых дел, защиты детей, женщин, свободы, природы и пенсионеров" в городе Санкт-Петербург
Участковая избирательная комиссия №6	ТИК 1	Маслова Елена Николаевна	Член	Санкт-Петербургское региональное отделение политической партии "ПАТРИОТЫ РОССИИ"
Участковая избирательная комиссия №6	ТИК 1	Мерненко Ирина Дмитриевна	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №6	ТИК 1	Молостов Александр Валерьевич	Член	Региональное отделение Всероссийской политической партии "Союз Труда" в Санкт-Петербурге
Участковая избирательная комиссия №6	ТИК 1	Панкова Светлана Витальевна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №6	ТИК 1	Петелина Маргарита Николаевна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №6	ТИК 1	Черепахина Тамара Николаевна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №7	ТИК 1	Мартынов Константин Сергеевич	Председатель	Региональное отделение в городе Санкт-Петербурге Политической партии "Гражданская Платформа"
Участковая избирательная комиссия №7	ТИК 1	Тумарова Румия Абдуляхатевна	Зам.председателя	Региональное отделение в Санкт-Петербурге Политической партии "Российская экологическая партия "Зелёные"
Участковая избирательная комиссия №7	ТИК 1	Ившуков Ян Дмитриевич	Секретарь	Санкт-Петербургское региональное отделение политической партии "ПАТРИОТЫ РОССИИ"
Участковая избирательная комиссия №7	ТИК 1	Артемова Ольга Сергеевна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №7	ТИК 1	Булатова Людмила Александровна	Член	Санкт-Петербургское региональное отделение Общероссийской политической партии "Народная партия "За женщин России"
Участковая избирательная комиссия №7	ТИК 1	Витушкин Дмитрий Александрович	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №7	ТИК 1	Демыкин Андрей Дмитриевич	Член	Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №7	ТИК 1	Иванов Сергей Валерьевич	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №7	ТИК 1	Ившуков Дмитрий Алексеевич	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №7	ТИК 1	Ильина Лариса Викторовна	Член	Региональное отделение политической партии СОЦИАЛЬНОЙ ЗАЩИТЫ в г.Санкт-Петербурге
Участковая избирательная комиссия №7	ТИК 1	Макеева Инна Евгеньевна	Член	Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ "РОДИНА" в городе Санкт-Петербурге
Участковая избирательная комиссия №7	ТИК 1	Пекарева Ирина Викторовна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №7	ТИК 1	Самаркина Виктория Евгеньевна	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №7	ТИК 1	Теплов Александр Александрович	Член	Региональное отделение Всероссийской политической партии ПАРТИЯ ЗА СПРАВЕДЛИВОСТЬ! в г.Санкт-Петербурге
Участковая избирательная комиссия №7	ТИК 1	Тетенькина Дарина Сергеевна	Член	Адмиралтейское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №8	ТИК 1	Прокофьева Наталья Анатольевна	Председатель	Санкт-Петербургское региональное отделение Общероссийской политической партии "Народная партия "За женщин России"
Участковая избирательная комиссия №8	ТИК 1	Андреева Светлана Олеговна	Зам.председателя	Региональное отделение Всероссийской политической партии ПАРТИЯ ЗА СПРАВЕДЛИВОСТЬ! в г.Санкт-Петербурге
Участковая избирательная комиссия №8	ТИК 1	Рыжова Ирина Викторовна	Секретарь	Региональное отделение Всероссийской политической партии "Союз Труда" в Санкт-Петербурге
Участковая избирательная комиссия №8	ТИК 1	Быкова Наталия Викторовна	Член	Региональное отделение в городе Санкт-Петербурге Политической партии "Гражданская Платформа"
Участковая избирательная комиссия №8	ТИК 1	Виноградов Андрей Вячеславович	Член	Политическая партия "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №8	ТИК 1	Гарафина Елена Павловна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №8	ТИК 1	Денисюк Елена Борисовна	Член	Региональное отделение ВСЕРОССИЙСКОЙ ПОЛИТИЧЕСКОЙ ПАРТИИ "РОДИНА" в городе Санкт-Петербурге
Участковая избирательная комиссия №8	ТИК 1	Егоров Сергей Владимирович	Член	собрание избирателей по месту жительства
Участковая избирательная комиссия №8	ТИК 1	Кобзева Александра Николаевна	Член	Адмиралтейское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №8	ТИК 1	Николаева Алена Игоревна	Член	САНКТ-ПЕТЕРБУРГСКОЕ ГОРОДСКОЕ ОТДЕЛЕНИЕ политической партии "КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"
Участковая избирательная комиссия №8	ТИК 1	Никулов Александр Владимирович	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №8	ТИК 1	Новикова Елена Сергеевна	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №8	ТИК 1	Поляков Виталий Игоревич	Член	Региональное отделение в Санкт-Петербурге Политической партии "Российская экологическая партия "Зелёные"
Участковая избирательная комиссия №8	ТИК 1	Пушкина Надежда Васильевна	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
Участковая избирательная комиссия №8	ТИК 1	Романова Елена Геннадьевна	Член	Региональное отделение политической партии СОЦИАЛЬНОЙ ЗАЩИТЫ в г.Санкт-Петербурге
Участковая избирательная комиссия №9	ТИК 1	Калинин Александр Юрьевич	Председатель	собрание избирателей по месту работы
Участковая избирательная комиссия №9	ТИК 1	Могушков Рашид Русланович	Зам.председателя	Адмиралтейское местное (районное) отделение Санкт-Петербургского регионального отделения Всероссийской политической партии "ЕДИНАЯ РОССИЯ"
Участковая избирательная комиссия №9	ТИК 1	Соколова Ольга Ивановна	Секретарь	собрание избирателей по месту работы
Участковая избирательная комиссия №9	ТИК 1	Ашижев Георгий Беталович	Член	Санкт-Петербургское региональное отделение политической партии "Российская объединенная демократическая партия "ЯБЛОКО"
Участковая избирательная комиссия №9	ТИК 1	Голушкова Ирина Борисовна	Член	Региональное отделение политической партии СОЦИАЛЬНОЙ ЗАЩИТЫ в г.Санкт-Петербурге
Участковая избирательная комиссия №9	ТИК 1	Давий Ирина Аркадьевна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №9	ТИК 1	Исмагулова Тамара Джакешевна	Член	Региональное отделение в Санкт-Петербурге Всероссийской политической партии "ПАРТИЯ РОСТА"
Участковая избирательная комиссия №9	ТИК 1	Кулына Ольга Владимировна	Член	Санкт-Петербургское региональное отделение Политической партии ЛДПР - Либерально-демократической партии России
Участковая избирательная комиссия №9	ТИК 1	Мелехин Станислав Сергеевич	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №9	ТИК 1	Надеева Оксана Алексеевна	Член	Региональное отделение Всероссийской политической партии ПАРТИЯ ЗА СПРАВЕДЛИВОСТЬ! в г.Санкт-Петербурге
Участковая избирательная комиссия №9	ТИК 1	Огнева Ольга Владимировна	Член	собрание избирателей по месту работы
Участковая избирательная комиссия №9	ТИК 1	Суриков Андрей Владимирович	Член	Региональное отделение Социалистической политической партии "СПРАВЕДЛИВАЯ РОССИЯ - ПАТРИОТЫ - ЗА ПРАВДУ" в городе Санкт-Петербурге
